iteration,rel_residual
0,1
1,0.8771
2,0.288753
3,0.303655
4,0.0946047
5,0.248272
6,0.0530391
7,0.0595904
8,0.0572272
9,0.0162821
10,0.0229861
11,0.0149812
12,0.0200757
13,0.0341517
14,0.0349071
15,0.0422861
16,0.0315461
17,0.0204415
18,0.00770403
19,0.00466755
20,0.00332878
21,0.00361489
22,0.00297696
23,0.00129432
24,0.000828473
25,0.000581314
26,0.000458479
27,0.000289735
28,0.000179563
29,0.000209083
30,0.00019942
31,0.000123135
32,8.86294e-05
33,4.8705e-05
34,2.40855e-05
35,1.34608e-05
36,9.35976e-06
37,3.92009e-06
38,2.38433e-06
39,2.1624e-06
40,1.81355e-06
41,1.18031e-06
42,8.04893e-07
43,8.74543e-07
44,6.07982e-07
45,2.06259e-07
46,9.05456e-08
47,3.4893e-08
48,1.53428e-08
49,1.10886e-08
50,5.35067e-09
51,3.20303e-09
52,1.42615e-09
53,7.73834e-10
54,4.18232e-10
55,3.13789e-10
