iteration,rel_residual
0,1
1,1.1318
2,1.03385
3,0.524852
4,0.160858
5,0.518939
6,0.126217
7,0.160078
8,0.126957
9,0.155511
10,0.0625187
11,0.0621854
12,0.0308957
13,0.0379044
14,0.0323532
15,0.0311055
16,0.0334642
17,0.04922
18,0.0770827
19,0.097396
20,0.0892857
21,0.0763928
22,0.0484271
23,0.0283207
24,0.0163906
25,0.0143751
26,0.0168405
27,0.0162521
28,0.0125987
29,0.008927
30,0.00673135
31,0.00464931
32,0.00411699
33,0.00274558
34,0.00139558
35,0.000724579
36,0.000597496
37,0.000478207
38,0.000257028
39,0.000131046
40,6.21863e-05
41,3.30894e-05
42,1.83295e-05
43,1.10007e-05
44,8.26887e-06
45,1.01204e-05
46,1.15992e-05
47,8.7002e-06
48,4.82702e-06
49,2.96644e-06
50,1.78082e-06
51,1.2198e-06
52,5.18663e-07
53,2.94757e-07
54,3.60833e-07
55,3.50887e-07
56,3.45094e-07
57,3.1355e-07
58,2.87919e-07
59,1.21125e-07
60,4.91269e-08
61,2.06113e-08
62,1.39611e-08
63,1.63779e-08
64,1.7825e-08
65,6.58117e-09
66,2.53871e-09
67,1.39624e-09
68,9.97883e-10
69,6.96281e-10
70,3.80575e-10
71,1.71689e-10
72,8.95254e-11
