iteration,relative_error
0,1
1,0.338664
2,0.0652743
3,0.0542107
4,0.0409432
5,0.0354631
6,0.0314645
7,0.0288323
8,0.0266756
9,0.0246057
10,0.0227964
11,0.021289
12,0.0200892
13,0.0191662
14,0.0182841
15,0.017468
16,0.016724
17,0.016071
18,0.0155455
19,0.0150859
20,0.0146431
21,0.0141845
22,0.0137166
23,0.01333
24,0.0129822
25,0.0126646
26,0.0123463
27,0.0119677
28,0.0114829
29,0.0109493
30,0.0105374
31,0.0103404
32,0.0102639
33,0.010224
34,0.0101976
35,0.01018
36,0.0101654
37,0.0101512
38,0.010139
39,0.0101282
40,0.0101179
41,0.0101062
42,0.0100952
43,0.0100852
44,0.0100743
45,0.0100605
46,0.0100443
47,0.0100275
48,0.0100078
49,0.00998358
50,0.00995087
51,0.00991227
52,0.00987034
53,0.00982696
54,0.00978561
55,0.00974568
56,0.00970845
57,0.00966331
58,0.00958694
59,0.00946947
60,0.00933639
61,0.00921783
62,0.00909527
63,0.00894173
64,0.00878417
65,0.00861807
66,0.0084431
67,0.00829216
68,0.008135
69,0.00798696
70,0.00785147
71,0.00772281
72,0.007617
73,0.00753467
74,0.00745494
75,0.00737532
76,0.0072843
77,0.00716782
78,0.00704209
79,0.00691462
80,0.00675028
81,0.00656014
82,0.00638426
83,0.00624017
84,0.00610036
85,0.00596541
86,0.00583886
87,0.00569687
88,0.00552966
89,0.00532758
90,0.0050995
91,0.00484046
92,0.00456387
93,0.00424462
94,0.00388425
95,0.00350074
96,0.00313071
97,0.0027903
98,0.00250875
99,0.00224649
100,0.00196824
101,0.00171277
102,0.00148041
103,0.00126466
104,0.00110288
105,0.00098032
106,0.000873901
107,0.000775289
108,0.000688433
109,0.000626225
110,0.000573302
111,0.000525994
112,0.000487011
113,0.000452722
114,0.000421041
115,0.000394015
116,0.000370128
117,0.000348553
118,0.000328886
119,0.000310864
120,0.000291469
121,0.000269189
122,0.000244768
123,0.000217054
124,0.000189095
125,0.000162362
126,0.000132734
127,0.000105095
128,8.21233e-05
129,6.55668e-05
130,5.35558e-05
131,4.37311e-05
132,3.48778e-05
133,2.84377e-05
134,2.36404e-05
135,1.97517e-05
136,1.63686e-05
137,1.37287e-05
138,1.16353e-05
