iteration,relative_error
0,1
1,0.895019
2,0.101598
3,0.0488675
4,0.0349796
5,0.0298597
6,0.0262592
7,0.0236259
8,0.0215281
9,0.0198541
10,0.0185124
11,0.0174065
12,0.0164144
13,0.0156308
14,0.014932
15,0.0143236
16,0.0138012
17,0.0133188
18,0.0129024
19,0.0125122
20,0.0121747
21,0.0118703
22,0.0115863
23,0.0113325
24,0.0110954
25,0.0108815
26,0.0106792
27,0.0104818
28,0.0102922
29,0.0101055
30,0.00992427
31,0.00974419
32,0.00955999
33,0.00938493
34,0.00921364
35,0.00905024
36,0.00889098
37,0.00873155
38,0.00858227
39,0.00843986
40,0.00830437
41,0.00817931
42,0.00805842
43,0.00794428
44,0.00783601
45,0.00773402
46,0.00764083
47,0.00755301
48,0.00747099
49,0.00739267
50,0.0073165
51,0.00724383
52,0.00717377
53,0.0071049
54,0.00703603
55,0.00696742
56,0.00690085
57,0.00683413
58,0.00676777
59,0.00670244
60,0.00663724
61,0.00657337
62,0.00651057
63,0.00645014
64,0.00639182
65,0.00633484
66,0.00628125
67,0.00623032
68,0.00618295
69,0.0061388
70,0.00609527
71,0.00605371
72,0.0060132
73,0.00597407
74,0.00593549
75,0.00589702
76,0.0058596
77,0.00582211
78,0.00578441
79,0.00574702
80,0.0057087
81,0.00566975
82,0.00563048
83,0.0055918
84,0.00555384
85,0.00551578
86,0.00547828
87,0.00544242
88,0.00540848
89,0.00537671
90,0.00534683
91,0.005319
92,0.00529312
93,0.00526795
94,0.00524379
95,0.00522036
96,0.00519721
97,0.0051744
98,0.00515117
99,0.00512732
100,0.00510265
101,0.00507697
102,0.00505047
103,0.00502202
104,0.00499182
105,0.00496025
106,0.00492792
107,0.00489595
108,0.00486394
109,0.00483198
110,0.00480003
111,0.00476521
112,0.00472371
113,0.00466943
114,0.00460022
115,0.00452532
116,0.00446586
117,0.00442999
118,0.00440664
119,0.0043868
120,0.00436782
121,0.00435163
122,0.00433918
123,0.00432878
124,0.00432025
125,0.00431439
126,0.00430994
127,0.00430593
128,0.00430251
129,0.00429955
130,0.00429667
131,0.0042941
132,0.00429194
133,0.00428994
134,0.00428818
135,0.00428668
136,0.00428525
137,0.00428398
138,0.00428278
139,0.00428157
140,0.00428038
141,0.00427911
142,0.00427777
143,0.0042764
144,0.00427498
145,0.00427359
146,0.00427215
147,0.00427066
148,0.00426916
149,0.00426768
150,0.00426627
151,0.00426487
152,0.00426347
153,0.00426201
154,0.00426046
155,0.00425884
156,0.00425715
157,0.0042554
158,0.00425359
159,0.00425174
160,0.00424983
161,0.00424791
162,0.004246
163,0.00424407
164,0.00424218
165,0.00424032
166,0.00423858
167,0.0042369
168,0.00423525
169,0.00423359
170,0.00423193
171,0.00423025
172,0.00422853
173,0.00422668
174,0.00422472
175,0.0042226
176,0.00422034
177,0.00421797
178,0.00421549
179,0.00421301
180,0.00421055
181,0.00420809
182,0.00420569
183,0.00420332
184,0.00420096
185,0.00419864
186,0.00419636
187,0.00419413
188,0.00419189
189,0.00418953
190,0.0041871
191,0.00418459
192,0.00418199
193,0.00417933
194,0.0041765
195,0.00417356
196,0.00417045
197,0.0041673
198,0.00416412
199,0.00416099
200,0.00415792
201,0.00415474
202,0.00415151
203,0.0041482
204,0.00414479
205,0.00414135
206,0.00413782
207,0.00413414
208,0.00413033
209,0.0041264
210,0.00412237
211,0.00411831
212,0.0041143
213,0.0041103
214,0.00410626
215,0.00410219
216,0.00409821
217,0.00409438
218,0.00409073
219,0.00408728
220,0.00408398
221,0.00408083
222,0.00407757
223,0.00407394
224,0.00406942
225,0.00406355
226,0.00405585
227,0.00404622
228,0.00403553
229,0.00402493
230,0.00401452
231,0.00400345
232,0.00399081
233,0.00397783
234,0.00396563
235,0.00395393
236,0.0039411
237,0.00392603
238,0.0039108
239,0.00389759
240,0.00388566
241,0.00387344
242,0.00386126
243,0.00385099
244,0.00384264
245,0.00383483
246,0.00382742
247,0.00382073
248,0.0038141
249,0.00380668
250,0.0037989
251,0.00379156
252,0.0037845
253,0.0037781
254,0.00377257
255,0.00376757
256,0.00376284
257,0.00375831
258,0.00375364
259,0.00374871
260,0.00374364
261,0.00373842
262,0.00373315
263,0.00372805
264,0.00372306
265,0.00371812
266,0.00371348
267,0.00370912
268,0.00370477
269,0.00370048
270,0.00369605
271,0.00369159
272,0.00368704
273,0.00368232
274,0.0036774
275,0.00367223
276,0.00366682
277,0.0036614
278,0.00365594
279,0.00365059
280,0.00364525
281,0.00363991
282,0.00363469
283,0.00362947
284,0.00362438
285,0.00361932
286,0.00361414
287,0.00360883
288,0.0036034
289,0.0035977
290,0.00359165
291,0.00358515
292,0.00357804
293,0.00357021
294,0.00356173
295,0.0035526
296,0.00354259
297,0.00353184
298,0.00352004
299,0.00350717
300,0.00349365
301,0.0034794
302,0.00346426
303,0.00344876
304,0.00343299
305,0.00341706
306,0.00340071
307,0.00338377
308,0.00336658
309,0.0033485
310,0.00332933
311,0.00330917
312,0.00328751
313,0.00326425
314,0.00323817
315,0.00320947
316,0.00317787
317,0.0031427
318,0.00310406
319,0.00306366
320,0.00302375
321,0.00298545
322,0.00294855
323,0.00291249
324,0.00287777
325,0.00284437
326,0.00281356
327,0.0027851
328,0.00275813
329,0.00273173
330,0.00270577
331,0.00268097
332,0.00265711
333,0.00263379
334,0.00261091
335,0.00258793
336,0.00256491
337,0.00254155
338,0.00251759
339,0.00249373
340,0.00247142
341,0.00245084
342,0.00243203
343,0.00241446
344,0.00239757
345,0.00238081
346,0.00236418
347,0.00234771
348,0.00233047
349,0.00231096
350,0.00228957
351,0.00226872
352,0.00225045
353,0.00223409
354,0.00221794
355,0.0022007
356,0.00218214
357,0.00216342
358,0.00214473
359,0.0021254
360,0.00210489
361,0.00208413
362,0.00206419
363,0.00204564
364,0.00202866
365,0.00201304
366,0.00199843
367,0.0019846
368,0.00197137
369,0.0019585
370,0.00194532
371,0.00193172
372,0.00191838
373,0.00190507
374,0.00189158
375,0.00187814
376,0.00186455
377,0.0018504
378,0.00183612
379,0.00182171
380,0.00180694
381,0.00179227
382,0.00177825
383,0.00176441
384,0.00175057
385,0.00173685
386,0.00172313
387,0.00170922
388,0.00169438
389,0.00167825
390,0.00166101
391,0.0016434
392,0.00162577
393,0.00160825
394,0.00159131
395,0.00157521
396,0.00155954
397,0.00154441
398,0.00152928
399,0.00151361
400,0.0014969
401,0.0014789
402,0.00145912
403,0.00143735
404,0.00141312
405,0.00138646
406,0.00135788
407,0.00132859
408,0.00129998
409,0.00127155
410,0.00124301
411,0.00121552
412,0.00118935
413,0.00116421
414,0.00114025
415,0.00111807
416,0.0010974
417,0.00107742
418,0.00105812
419,0.00103954
420,0.00102109
421,0.00100274
422,0.000984662
423,0.000967442
424,0.000951009
425,0.000935092
426,0.00091999
427,0.000905444
428,0.0008914
429,0.000877932
430,0.000864913
431,0.000851842
432,0.000838457
433,0.000824931
434,0.000812069
435,0.000799837
436,0.000787844
437,0.00077569
438,0.000763177
439,0.000750533
440,0.000737449
441,0.000724184
442,0.000710688
443,0.000697133
444,0.000683461
445,0.00066929
446,0.000654504
447,0.00063919
448,0.000622827
449,0.000604722
450,0.000584315
451,0.000562807
452,0.000541613
453,0.000521933
454,0.000503743
455,0.000486136
456,0.000468558
457,0.000451164
458,0.000433711
459,0.000416353
460,0.000399445
461,0.000382567
462,0.000364822
463,0.000346241
464,0.000328138
465,0.000311496
466,0.000296267
467,0.000281919
