iteration,relative_error
0,1
1,0.141449
2,0.0551545
3,0.0401999
4,0.0299716
5,0.0242365
6,0.0206516
7,0.0189497
8,0.0171809
9,0.0158469
10,0.0149147
11,0.014132
12,0.0132881
13,0.0124344
14,0.0120431
15,0.0118739
16,0.0117697
17,0.0116971
18,0.0116133
19,0.0115096
20,0.0113919
21,0.0112683
22,0.0111296
23,0.0109187
24,0.0106234
25,0.0103544
26,0.010167
27,0.0100477
28,0.00996216
29,0.00988808
30,0.00981453
31,0.00973951
32,0.00961112
33,0.00936678
34,0.00910181
35,0.00878778
36,0.00829216
37,0.00779709
38,0.00731066
39,0.00645535
40,0.00544128
41,0.00452526
42,0.00357038
43,0.00288262
44,0.00247504
45,0.00213361
46,0.00166031
47,0.00110414
48,0.000718663
49,0.000483485
50,0.000319518
51,0.000191195
52,0.000111006
53,7.6984e-05
54,5.99809e-05
