iteration,relative_error
0,1
1,0.311867
2,0.103307
3,0.0671394
4,0.0539085
5,0.0471979
6,0.0427719
7,0.0394609
8,0.0367677
9,0.0344957
10,0.0325656
11,0.0308843
12,0.029395
13,0.0280678
14,0.026891
15,0.0258491
16,0.0249215
17,0.0240975
18,0.0233547
19,0.0226892
20,0.0220865
21,0.0215362
22,0.0210321
23,0.0205717
24,0.0201514
25,0.0197624
26,0.0194014
27,0.0190654
28,0.0187516
29,0.018456
30,0.0181748
31,0.0179067
32,0.0176511
33,0.0174064
34,0.0171702
35,0.0169403
36,0.0167154
37,0.0164945
38,0.0162777
39,0.0160638
40,0.0158527
41,0.0156458
42,0.0154433
43,0.0152464
44,0.0150543
45,0.0148676
46,0.0146871
47,0.0145142
48,0.0143487
49,0.0141915
50,0.0140419
51,0.0138996
52,0.0137636
53,0.013634
54,0.0135108
55,0.0133932
56,0.0132805
57,0.0131712
58,0.0130651
59,0.0129614
60,0.0128594
61,0.0127591
62,0.01266
63,0.0125613
64,0.0124627
65,0.0123644
66,0.0122666
67,0.012169
68,0.0120722
69,0.0119762
70,0.0118809
71,0.0117867
72,0.0116942
73,0.0116042
74,0.0115165
75,0.0114316
76,0.0113494
77,0.0112704
78,0.0111946
79,0.011122
80,0.0110521
81,0.0109847
82,0.0109196
83,0.0108568
84,0.0107957
85,0.0107356
86,0.0106762
87,0.0106171
88,0.0105584
89,0.0104994
90,0.0104399
91,0.01038
92,0.0103196
93,0.0102591
94,0.0101984
95,0.0101377
96,0.010077
97,0.010017
98,0.0099578
99,0.00989962
100,0.00984276
101,0.00978741
102,0.00973376
103,0.00968159
104,0.00963097
105,0.00958226
106,0.00953551
107,0.00949061
108,0.00944712
109,0.00940467
110,0.00936295
111,0.00932165
112,0.00928077
113,0.00924022
114,0.00919977
115,0.00915928
116,0.00911852
117,0.00907732
118,0.00903545
119,0.00899302
120,0.00895013
121,0.00890684
122,0.00886347
123,0.00882008
124,0.00877669
125,0.00873291
126,0.0086872
127,0.00863434
128,0.00856098
129,0.00844528
130,0.00829948
131,0.00818762
132,0.00810327
133,0.00801475
134,0.0079545
135,0.00791545
136,0.00787642
137,0.00785156
138,0.00782797
139,0.00781093
140,0.00779724
141,0.00778705
142,0.00777986
143,0.00777457
144,0.00777084
145,0.00776804
146,0.00776579
147,0.00776392
148,0.00776215
149,0.00776058
150,0.00775908
