iteration,relative_error
0,1
1,0.25345
2,0.163332
3,0.12779
4,0.110382
5,0.100105
6,0.0918068
7,0.084483
8,0.0800268
9,0.0757992
10,0.0710628
11,0.0682776
12,0.0650835
13,0.0618824
14,0.0587627
15,0.0564378
16,0.0553128
17,0.0549164
18,0.0547513
19,0.0546348
20,0.0545249
21,0.0543778
22,0.0542253
23,0.0540251
24,0.0537307
25,0.0533209
26,0.052788
27,0.051996
28,0.0510221
29,0.0501161
30,0.0495041
31,0.0489207
32,0.0480146
33,0.0469584
34,0.0462904
35,0.0456273
36,0.0447454
37,0.0439332
38,0.0423452
39,0.0404113
40,0.0383322
41,0.0349304
42,0.0314047
43,0.0288499
44,0.0268723
45,0.0245937
46,0.0225513
47,0.0206787
48,0.0186279
49,0.0163706
50,0.0140066
51,0.0123968
52,0.0114148
53,0.0102701
54,0.00900428
55,0.00817342
56,0.0074523
57,0.00629904
58,0.00448291
59,0.00255331
60,0.00149931
61,0.00108989
62,0.000780385
63,0.000552514
64,0.000388199
65,0.000291057
66,0.000227496
67,0.000188257
68,0.000163025
69,0.000137589
70,0.000111725
71,8.57272e-05
72,6.75711e-05
73,5.55217e-05
74,4.60705e-05
75,3.88001e-05
76,3.18367e-05
77,2.4997e-05
78,2.0227e-05
79,1.6857e-05
80,1.47707e-05
81,1.38007e-05
82,1.32478e-05
83,1.27845e-05
84,1.24397e-05
85,1.20992e-05
86,1.15979e-05
87,1.09188e-05
88,1.01636e-05
89,9.47946e-06
90,8.79535e-06
91,7.7953e-06
92,6.10636e-06
93,4.468e-06
94,3.3464e-06
95,2.34434e-06
96,1.39679e-06
97,6.13466e-07
98,3.28494e-07
99,2.04708e-07
100,1.28464e-07
101,8.89773e-08
102,6.80777e-08
103,4.83894e-08
104,3.24796e-08
105,2.39487e-08
