iteration,relative_error
0,1
1,0.434135
2,0.145591
3,0.0716297
4,0.0461369
5,0.0358929
6,0.0306323
7,0.0274616
8,0.0253085
9,0.0236839
10,0.0223499
11,0.0212128
12,0.0202229
13,0.0193443
14,0.0185531
15,0.017842
16,0.0171976
17,0.0166032
18,0.0160498
19,0.0155349
20,0.0150558
21,0.0146075
22,0.0141891
23,0.0137974
24,0.0134303
25,0.0130836
26,0.0127565
27,0.0124476
28,0.0121549
29,0.0118785
30,0.0116181
31,0.0113723
32,0.0111402
33,0.0109212
34,0.0107147
35,0.0105185
36,0.0103314
37,0.0101538
38,0.00998588
39,0.00982685
40,0.00967605
41,0.00953338
42,0.00939837
43,0.0092704
44,0.00914925
45,0.0090348
46,0.008926
47,0.00882221
48,0.00872341
49,0.00862951
50,0.00854002
51,0.00845454
52,0.00837302
53,0.00829507
54,0.00822016
55,0.00814821
56,0.00807907
57,0.00801234
58,0.00794762
59,0.00788489
60,0.00782403
61,0.00776493
62,0.00770745
63,0.00765167
64,0.00759725
65,0.00754392
66,0.00749158
67,0.00744033
68,0.00738998
69,0.00734031
70,0.00729139
71,0.0072432
72,0.00719565
73,0.00714866
74,0.0071022
75,0.0070562
76,0.00701048
77,0.00696491
78,0.0069196
79,0.00687466
80,0.00683001
81,0.00678566
82,0.00674164
83,0.00669804
84,0.00665479
85,0.00661186
86,0.00656928
87,0.00652707
88,0.00648525
89,0.00644391
90,0.00640313
91,0.00636287
92,0.00632312
93,0.00628394
94,0.0062454
95,0.00620755
96,0.00617034
97,0.00613394
98,0.00609836
99,0.00606358
100,0.00602951
101,0.00599625
102,0.00596386
103,0.00593223
104,0.00590137
105,0.00587127
106,0.00584195
107,0.00581333
108,0.00578538
109,0.00575807
110,0.00573138
111,0.00570525
112,0.00567966
113,0.00565462
114,0.00563007
115,0.00560601
116,0.00558241
117,0.00555928
118,0.00553652
119,0.00551407
120,0.00549191
121,0.00547003
122,0.00544839
123,0.00542692
124,0.0054056
125,0.00538441
126,0.0053633
127,0.00534227
128,0.00532136
129,0.00530055
130,0.0052798
131,0.00525909
132,0.00523835
133,0.00521759
134,0.0051968
135,0.00517608
136,0.00515546
137,0.00513492
138,0.00511443
139,0.00509398
140,0.00507355
141,0.00505316
142,0.00503286
143,0.00501274
144,0.00499277
145,0.00497292
146,0.00495316
147,0.00493357
148,0.00491417
149,0.00489504
150,0.00487619
151,0.00485763
152,0.00483935
153,0.00482132
154,0.00480355
155,0.0047861
156,0.00476902
157,0.00475232
158,0.00473602
159,0.00472002
160,0.00470425
161,0.0046887
162,0.0046734
163,0.0046584
164,0.00464369
165,0.00462926
166,0.00461509
167,0.00460116
168,0.00458739
169,0.00457378
170,0.00456032
171,0.004547
172,0.00453379
173,0.00452068
174,0.00450766
175,0.00449472
176,0.00448184
177,0.004469
178,0.0044562
179,0.0044434
180,0.00443058
181,0.00441774
182,0.0044049
183,0.00439207
184,0.00437926
185,0.00436649
186,0.00435375
187,0.004341
188,0.00432825
189,0.00431548
190,0.00430267
191,0.0042898
192,0.00427688
193,0.00426393
194,0.00425098
195,0.00423806
196,0.00422519
197,0.00421239
198,0.00419968
199,0.00418705
200,0.00417453
201,0.00416211
202,0.00414981
203,0.00413765
204,0.00412566
205,0.00411381
206,0.00410213
207,0.00409067
208,0.00407942
209,0.00406835
210,0.00405745
211,0.00404677
212,0.00403627
213,0.00402596
214,0.00401582
215,0.00400584
216,0.003996
217,0.00398627
218,0.00397667
219,0.00396721
220,0.0039579
221,0.00394874
222,0.00393971
223,0.00393075
224,0.00392181
225,0.00391289
226,0.00390399
227,0.00389513
228,0.00388627
229,0.0038774
230,0.00386851
231,0.00385958
232,0.00385057
233,0.0038415
234,0.00383237
235,0.00382318
236,0.00381395
237,0.00380469
238,0.00379544
239,0.00378617
240,0.00377686
241,0.00376751
242,0.00375811
243,0.00374868
244,0.00373922
245,0.00372975
246,0.00372028
247,0.00371082
248,0.00370139
249,0.00369196
250,0.00368245
251,0.00367257
252,0.00366148
253,0.00364714
254,0.00362591
255,0.00359648
256,0.00356824
257,0.00354821
258,0.00352823
259,0.00349564
260,0.00346146
261,0.00344154
262,0.00342246
263,0.00340219
264,0.00339015
265,0.00337897
266,0.00336837
267,0.00336077
268,0.00335207
269,0.00334455
270,0.00333695
271,0.00332907
272,0.00332208
273,0.00331475
274,0.00330864
275,0.00330271
276,0.00329782
277,0.00329343
278,0.00328981
279,0.00328678
280,0.00328437
281,0.0032824
282,0.00328088
283,0.00327958
284,0.00327856
285,0.0032776
286,0.00327683
287,0.00327606
288,0.00327542
289,0.00327476
290,0.00327418
291,0.00327358
292,0.00327301
293,0.00327242
294,0.00327186
295,0.00327131
296,0.0032708
297,0.00327031
