iteration,relative_error
0,1
1,0.690206
2,0.310209
3,0.161727
4,0.0943442
5,0.0607678
6,0.0425247
7,0.0323335
8,0.0261781
9,0.0223535
10,0.0199111
11,0.0182768
12,0.0170629
13,0.0161125
14,0.0153515
15,0.0147081
16,0.0141561
17,0.0136781
18,0.0132502
19,0.0128612
20,0.0125081
21,0.0121853
22,0.0118886
23,0.011619
24,0.0113674
25,0.011125
26,0.0108949
27,0.0106772
28,0.0104718
29,0.0102804
30,0.0101017
31,0.0099278
32,0.00975864
33,0.00959615
34,0.00943999
35,0.00928997
36,0.00914612
37,0.00900744
38,0.00887472
39,0.00874874
40,0.0086278
41,0.00850965
42,0.00839369
43,0.00828018
44,0.00816968
45,0.00806358
46,0.00796198
47,0.00786446
48,0.00777038
49,0.00767882
50,0.00758941
51,0.00750201
52,0.00741645
53,0.00733269
54,0.00725153
55,0.00717311
56,0.00709673
57,0.0070224
58,0.00695042
59,0.00688065
60,0.00681238
61,0.00674536
62,0.00667963
63,0.00661573
64,0.00655378
65,0.00649314
66,0.00643337
67,0.00637478
68,0.00631771
69,0.00626212
70,0.00620819
71,0.00615602
72,0.00610508
73,0.00605471
74,0.00600488
75,0.00595573
76,0.00590756
77,0.00586075
78,0.00581543
79,0.00577155
80,0.00572889
81,0.00568717
82,0.0056461
83,0.00560572
84,0.00556626
85,0.00552757
86,0.00548942
87,0.00545184
88,0.00541509
89,0.00537933
90,0.00534476
91,0.00531136
92,0.00527852
93,0.0052458
94,0.00521335
95,0.00518134
96,0.00514994
97,0.00511935
98,0.00508979
99,0.00506116
100,0.0050333
101,0.005006
102,0.00497902
103,0.00495222
104,0.00492572
105,0.00489964
106,0.00487413
107,0.00484936
108,0.00482534
109,0.00480196
110,0.00477915
111,0.00475662
112,0.00473413
113,0.00471179
114,0.00468985
115,0.00466841
116,0.00464746
117,0.00462703
118,0.0046071
119,0.0045876
120,0.00456854
121,0.00454979
122,0.00453123
123,0.00451287
124,0.00449474
125,0.00447684
126,0.00445919
127,0.00444189
128,0.00442503
129,0.00440866
130,0.00439262
131,0.00437663
132,0.00436063
133,0.00434473
134,0.00432902
135,0.00431354
136,0.00429832
137,0.00428346
138,0.00426897
139,0.00425482
140,0.00424087
141,0.004227
142,0.00421317
143,0.00419939
144,0.00418567
145,0.00417205
146,0.0041586
147,0.00414538
148,0.00413246
149,0.00411987
150,0.00410752
151,0.00409524
152,0.00408293
153,0.00407062
154,0.00405837
155,0.00404625
156,0.0040343
157,0.00402249
158,0.00401085
159,0.00399939
160,0.00398814
161,0.00397706
162,0.00396602
163,0.00395493
164,0.00394379
165,0.00393271
166,0.00392184
167,0.00391121
168,0.00390068
169,0.00389003
170,0.00387927
171,0.00386852
172,0.00385786
173,0.0038473
174,0.00383679
175,0.00382634
176,0.00381596
177,0.0038057
178,0.00379559
179,0.00378559
180,0.00377558
181,0.0037655
182,0.00375536
183,0.00374519
184,0.00373504
185,0.003725
186,0.00371508
187,0.00370531
188,0.00369569
189,0.00368615
190,0.00367654
191,0.00366683
192,0.00365706
193,0.00364728
194,0.00363752
195,0.00362782
196,0.00361824
197,0.00360883
198,0.00359954
199,0.0035902
200,0.00358074
201,0.00357122
202,0.0035617
203,0.00355219
204,0.0035427
205,0.00353326
206,0.00352388
207,0.00351464
208,0.0035056
209,0.00349666
210,0.00348768
211,0.00347862
212,0.0034695
213,0.00346035
214,0.00345123
215,0.00344216
216,0.0034332
217,0.00342436
218,0.00341562
219,0.00340695
220,0.00339833
221,0.00338974
222,0.00338117
223,0.00337262
224,0.00336408
225,0.00335555
226,0.00334702
227,0.00333849
228,0.00333
229,0.00332162
230,0.00331341
231,0.00330543
232,0.00329755
233,0.00328961
234,0.00328159
235,0.00327356
236,0.00326555
237,0.00325759
238,0.00324971
239,0.00324194
240,0.00323431
241,0.00322684
242,0.0032195
243,0.00321222
244,0.00320495
245,0.00319768
246,0.0031904
247,0.00318316
248,0.00317597
249,0.00316884
250,0.00316179
251,0.00315484
252,0.00314806
253,0.00314146
254,0.00313498
255,0.00312846
256,0.00312189
257,0.00311531
258,0.00310878
259,0.00310233
260,0.00309599
261,0.00308975
